"LONG_SCHOOL_YEAR","SCHOOL_DSTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","CATEGORY","SALARIES","BENEFITS","SALARIES_AND_BENEFITS","% Rev- GF/Title/Lottery","% Rev- Total K-12","% Exp- GF/Title/Lottery","% Exp-Total K-12"
"2021-22","611","Bibb County","ALL","All Column Values","School Administration",8468863.88,5589688.94,14058552.82,4.59,3.83,4.81,4.22
"2021-22","611","Bibb County","ALL","All Column Values","Teachers and Paraprofessionals",82477644.86,42279035.56,124756680.42,40.77,33.98,42.72,37.47
"2021-22","612","Bleckley County","ALL","All Column Values","General Administration",351648.01,183480.56,535128.57,1.77,1.46,1.91,1.13
"2021-22","612","Bleckley County","ALL","All Column Values","School Administration",979599,463428.46,1443027.46,4.77,3.93,5.15,3.06
"2021-22","612","Bleckley County","ALL","All Column Values","Teachers and Paraprofessionals",10470083.17,4551464.93,15021548.1,49.62,40.93,53.63,31.81
"2021-22","613","Brantley County","ALL","All Column Values","General Administration",371121.46,157683.28,528804.74,1.22,1.07,1.36,1.24
"2021-22","613","Brantley County","ALL","All Column Values","School Administration",1313661.89,616515.46,1930177.35,4.47,3.89,4.98,4.53
"2021-22","613","Brantley County","ALL","All Column Values","Teachers and Paraprofessionals",13726507.29,5728552.63,19455059.92,45.02,39.21,50.22,45.63
"2021-22","614","Brooks County","ALL","All Column Values","General Administration",677954.72,389295.64,1067250.36,3.17,2.84,3.48,2.92
"2021-22","614","Brooks County","ALL","All Column Values","School Administration",1142007.49,616949.18,1758956.67,5.22,4.68,5.74,4.81
"2021-22","614","Brooks County","ALL","All Column Values","Teachers and Paraprofessionals",8161353.86,4045716.74,12207070.6,36.22,32.46,39.83,33.4
"2021-22","615","Bryan County","ALL","All Column Values","General Administration",1067514.89,437326.01,1504840.9,1.42,1.06,1.49,1.18
"2021-22","615","Bryan County","ALL","All Column Values","School Administration",3279519.96,1606687.81,4886207.77,4.61,3.45,4.84,3.85
"2021-22","615","Bryan County","ALL","All Column Values","Teachers and Paraprofessionals",37752011.2,16583176.63,54335187.83,51.29,38.33,53.81,42.78
"2021-22","616","Bulloch County","ALL","All Column Values","General Administration",613339.72,334510.65,947850.37,0.69,0.58,0.76,0.63
"2021-22","616","Bulloch County","ALL","All Column Values","School Administration",4213179.5,2096056.03,6309235.53,4.59,3.87,5.09,4.16
"2021-22","616","Bulloch County","ALL","All Column Values","Teachers and Paraprofessionals",46481302.04,19274054.71,65755356.75,47.8,40.3,53.03,43.4
"2021-22","617","Burke County","ALL","All Column Values","General Administration",992119.03,567842.94,1559961.97,1.44,1.38,2.28,2.13
"2021-22","617","Burke County","ALL","All Column Values","School Administration",2103720.65,1058462.04,3162182.69,2.92,2.79,4.62,4.31
"2021-22","617","Burke County","ALL","All Column Values","Teachers and Paraprofessionals",21936527.77,10535603.98,32472131.75,30,28.69,47.46,44.25
"2021-22","618","Butts County","ALL","All Column Values","General Administration",315535.66,358238.08,673773.74,1.51,0.75,1.73,1.27
"2021-22","618","Butts County","ALL","All Column Values","School Administration",1577182.33,874714.55,2451896.88,5.51,2.73,6.28,4.64
"2021-22","618","Butts County","ALL","All Column Values","Teachers and Paraprofessionals",12143590.17,6381052.15,18524642.32,41.64,20.65,47.44,35.05
"2021-22","619","Calhoun County","ALL","All Column Values","General Administration",276752.93,147604.15,424357.08,4.65,3.5,4.96,4.28
"2021-22","619","Calhoun County","ALL","All Column Values","School Administration",273358.48,192470.62,465829.1,5.1,3.85,5.44,4.7
"2021-22","619","Calhoun County","ALL","All Column Values","Teachers and Paraprofessionals",1878241.4,1027413.36,2905654.76,31.82,23.99,33.94,29.34
"2021-22","620","Camden County","ALL","All Column Values","General Administration",270958.86,223025.78,493984.64,0.48,0.4,0.51,0.43
"2021-22","620","Camden County","ALL","All Column Values","School Administration",3327301.26,1511335.78,4838637.04,4.69,3.88,5.03,4.2
"2021-22","620","Camden County","ALL","All Column Values","Teachers and Paraprofessionals",35707689.94,13993540.8,49701230.74,48.14,39.89,51.65,43.14
"2021-22","621","Candler County","ALL","All Column Values","General Administration",476727.46,227800.94,704528.4,2.55,2.14,2.82,2.47
"2021-22","621","Candler County","ALL","All Column Values","School Administration",593030.6,428687.41,1021718.01,3.7,3.11,4.08,3.58
"2021-22","621","Candler County","ALL","All Column Values","Teachers and Paraprofessionals",7890967.56,4316968.44,12207936,44.15,37.12,48.79,42.75
"2021-22","622","Carroll County","ALL","All Column Values","General Administration",617371.1,466140.49,1083511.59,0.58,0.49,0.6,0.46
"2021-22","622","Carroll County","ALL","All Column Values","School Administration",5542051.36,3288477.35,8830528.71,4.76,4.02,4.9,3.72
"2021-22","622","Carroll County","ALL","All Column Values","Teachers and Paraprofessionals",57051463.03,29768892.38,86820355.41,46.83,39.48,48.19,36.59
"2021-22","623","Catoosa County","ALL","All Column Values","General Administration",389277.59,363030.29,752307.88,0.55,0.35,0.56,0.45
"2021-22","623","Catoosa County","ALL","All Column Values","School Administration",3911671.07,2542438.83,6454109.9,4.7,3.04,4.79,3.9
"2021-22","623","Catoosa County","ALL","All Column Values","Teachers and Paraprofessionals",49591999.56,24524371.59,74116371.15,53.94,34.95,54.95,44.75
"2021-22","624","Charlton County","ALL","All Column Values","General Administration",293266.47,162664.55,455931.02,2.06,1.83,2.24,2
"2021-22","624","Charlton County","ALL","All Column Values","School Administration",766594.97,403250.21,1169845.18,5.28,4.71,5.76,5.12
"2021-22","624","Charlton County","ALL","All Column Values","Teachers and Paraprofessionals",6204434.85,3059444.6,9263879.45,41.83,37.27,45.58,40.58
"2021-22","625","Savannah-Chatham County","ALL","All Column Values","General Administration",6603262.79,3103219.6,9706482.39,1.65,1.33,1.87,1.55
"2021-22","625","Savannah-Chatham County","ALL","All Column Values","School Administration",14177893.12,8473717.25,22651610.37,3.85,3.09,4.36,3.63
"2021-22","625","Savannah-Chatham County","ALL","All Column Values","Teachers and Paraprofessionals",167421262.02,76832089.37,244253351.39,41.47,33.37,46.99,39.11
"2021-22","626","Chattahoochee County","ALL","All Column Values","General Administration",462663.02,206439.98,669103,4.92,4.02,5.94,5.18
"2021-22","626","Chattahoochee County","ALL","All Column Values","School Administration",424181.48,215898.18,640079.66,4.71,3.84,5.68,4.96
"2021-22","626","Chattahoochee County","ALL","All Column Values","Teachers and Paraprofessionals",3250473.34,1388814.59,4639287.93,34.14,27.86,41.2,35.94
"2021-22","627","Chattooga County","ALL","All Column Values","General Administration",476726.51,220422.68,697149.19,1.99,1.29,2.23,1.72
"2021-22","627","Chattooga County","ALL","All Column Values","School Administration",950048.06,553252.07,1503300.13,4.3,2.78,4.82,3.7
"2021-22","627","Chattooga County","ALL","All Column Values","Teachers and Paraprofessionals",10023641.02,5039976.73,15063617.75,43.04,27.85,48.27,37.12
"2021-22","628","Cherokee County","ALL","All Column Values","General Administration",2474882.91,1420466.51,3895349.42,0.78,0.6,0.83,0.66
"2021-22","628","Cherokee County","ALL","All Column Values","School Administration",13022154.56,8253119.11,21275273.67,4.26,3.28,4.53,3.58
"2021-22","628","Cherokee County","ALL","All Column Values","Teachers and Paraprofessionals",191931669.77,89465366.02,281397035.79,56.33,43.43,59.9,47.4
"2021-22","629","Clarke County","ALL","All Column Values","General Administration",1199050.43,611316.63,1810367.06,0.82,0.52,0.87,0.75
"2021-22","629","Clarke County","ALL","All Column Values","School Administration",5317500.51,2959019.21,8276519.72,3.76,2.4,3.98,3.41
"2021-22","629","Clarke County","ALL","All Column Values","Teachers and Paraprofessionals",60698090.5,33714510.14,94412600.64,42.94,27.34,45.44,38.86
"2021-22","630","Clay County","ALL","All Column Values","General Administration",257833.76,83127.8,340961.56,6.72,5.98,6.29,5.76
"2021-22","630","Clay County","ALL","All Column Values","School Administration",170030.14,107580.11,277610.25,5.47,4.87,5.12,4.69
"2021-22","630","Clay County","ALL","All Column Values","Teachers and Paraprofessionals",1000788.96,451180.58,1451969.54,28.61,25.46,26.78,24.51
"2021-22","631","Clayton County","ALL","All Column Values","General Administration",5463810.77,2232206.25,7696017.02,1.21,1.04,1.29,1.12
"2021-22","631","Clayton County","ALL","All Column Values","School Administration",22278698.64,9333308.29,31612006.93,4.99,4.29,5.29,4.6
"2021-22","631","Clayton County","ALL","All Column Values","Teachers and Paraprofessionals",192104470.26,82634568.08,274739038.34,43.36,37.25,45.96,39.98
"2021-22","632","Clinch County","ALL","All Column Values","General Administration",373087.09,191707.26,564794.35,2.93,2.64,3.55,2.88
"2021-22","632","Clinch County","ALL","All Column Values","School Administration",431311.86,234724.7,666036.56,3.46,3.11,4.18,3.4
"2021-22","632","Clinch County","ALL","All Column Values","Teachers and Paraprofessionals",5230503.6,2665184.19,7895687.79,40.97,36.87,49.59,40.26
"2021-22","633","Cobb County","ALL","All Column Values","General Administration",6765711.29,5028760,11794471.29,0.85,0.71,0.88,0.77
"2021-22","633","Cobb County","ALL","All Column Values","School Administration",40290644.63,23662301.58,63952946.21,4.6,3.82,4.75,4.17
"2021-22","633","Cobb County","ALL","All Column Values","Teachers and Paraprofessionals",538772930.31,256641460.36,795414390.67,57.17,47.55,59.1,51.89
"2021-22","634","Coffee County","ALL","All Column Values","General Administration",677571.35,347628.48,1025199.83,1.12,0.95,1.17,1.06
"2021-22","634","Coffee County","ALL","All Column Values","School Administration",2134008.97,1348673.83,3482682.8,3.81,3.22,3.97,3.59
"2021-22","634","Coffee County","ALL","All Column Values","Teachers and Paraprofessionals",28816803.57,14914503.53,43731307.1,47.86,40.46,49.84,45.04
"2021-22","635","Colquitt County","ALL","All Column Values","General Administration",858883.44,409375.77,1268259.21,0.97,0.87,1.08,0.98
"2021-22","635","Colquitt County","ALL","All Column Values","School Administration",3261195.38,1498596.89,4759792.27,3.66,3.27,4.07,3.67
"2021-22","635","Colquitt County","ALL","All Column Values","Teachers and Paraprofessionals",38004846.9,17586629.83,55591476.73,42.71,38.21,47.55,42.89
"2021-22","636","Columbia County","ALL","All Column Values","General Administration",268913.68,546811.26,815724.94,0.26,0.22,0.27,0.22
"2021-22","636","Columbia County","ALL","All Column Values","School Administration",8282809.52,4904363.6,13187173.12,4.14,3.49,4.37,3.61
"2021-22","636","Columbia County","ALL","All Column Values","Teachers and Paraprofessionals",112927121.87,54183680.5,167110802.37,52.47,44.21,55.35,45.7
"2021-22","637","Cook County","ALL","All Column Values","General Administration",548103.68,265021.62,813125.3,2.09,1.79,2.13,1.49
"2021-22","637","Cook County","ALL","All Column Values","School Administration",971213.42,595763.54,1566976.96,4.03,3.44,4.1,2.86
"2021-22","637","Cook County","ALL","All Column Values","Teachers and Paraprofessionals",12206185.62,5597983.53,17804169.15,45.78,39.11,46.6,32.52
"2021-22","638","Coweta County","ALL","All Column Values","General Administration",476694.42,436993.08,913687.5,0.34,0.26,0.35,0.3
"2021-22","638","Coweta County","ALL","All Column Values","School Administration",8548909.97,4985626.97,13534536.94,4.98,3.86,5.21,4.37
"2021-22","638","Coweta County","ALL","All Column Values","Teachers and Paraprofessionals",102385735.37,47777870.65,150163606.02,55.21,42.78,57.76,48.51
"2021-22","639","Crawford County","ALL","All Column Values","General Administration",522983.95,239043.87,762027.82,3.35,2.15,3.59,2.36
"2021-22","639","Crawford County","ALL","All Column Values","School Administration",606235.45,395853.2,1002088.65,4.41,2.83,4.72,3.11
"2021-22","639","Crawford County","ALL","All Column Values","Teachers and Paraprofessionals",6842070.84,3148270.04,9990340.88,43.97,28.25,47.06,31
"2021-22","640","Crisp County","ALL","All Column Values","General Administration",521208.5,286415.34,807623.84,1.58,1.35,1.71,1.42
"2021-22","640","Crisp County","ALL","All Column Values","School Administration",1256679.67,826087.58,2082767.25,4.07,3.48,4.41,3.66
"2021-22","640","Crisp County","ALL","All Column Values","Teachers and Paraprofessionals",14447713.75,7671426.66,22119140.41,43.19,36.96,46.88,38.85
"2021-22","641","Dade County","ALL","All Column Values","General Administration",135440.64,157702.36,293143,1.21,0.99,1.34,1.19
"2021-22","641","Dade County","ALL","All Column Values","School Administration",731678.68,414741.85,1146420.53,4.75,3.89,5.23,4.67
"2021-22","641","Dade County","ALL","All Column Values","Teachers and Paraprofessionals",8117332.5,4306767.69,12424100.19,51.47,42.17,56.67,50.63
"2021-22","642","Dawson County","ALL","All Column Values","General Administration",476985.05,258419.95,735405,1.44,1.08,1.53,1.07
"2021-22","642","Dawson County","ALL","All Column Values","School Administration",1732390.25,841238.11,2573628.36,5.04,3.8,5.36,3.75
"2021-22","642","Dawson County","ALL","All Column Values","Teachers and Paraprofessionals",15377986.66,8102288.34,23480275,46.01,34.63,48.9,34.2
"2021-22","643","Decatur County","ALL","All Column Values","General Administration",411360,132624.3,543984.3,0.91,0.77,1.01,0.88
"2021-22","643","Decatur County","ALL","All Column Values","School Administration",1639558,751918.81,2391476.81,3.99,3.39,4.42,3.88
"2021-22","643","Decatur County","ALL","All Column Values","Teachers and Paraprofessionals",16079498.77,8068370.8,24147869.57,40.34,34.24,44.65,39.18
"2021-22","644","DeKalb County","ALL","All Column Values","General Administration",7451273.89,5883498.67,13334772.56,0.85,0.75,0.92,0.83
"2021-22","644","DeKalb County","ALL","All Column Values","School Administration",42467421.31,19349693.07,61817114.38,3.96,3.47,4.26,3.87
"2021-22","644","DeKalb County","ALL","All Column Values","Teachers and Paraprofessionals",448150655.3,193095188.49,641245843.79,41.08,35.98,44.16,40.15
"2021-22","645","Dodge County","ALL","All Column Values","General Administration",378060.55,201116.13,579176.68,1.46,1.28,1.79,1.63
"2021-22","645","Dodge County","ALL","All Column Values","School Administration",862948.09,405681.12,1268629.21,3.19,2.8,3.91,3.57
"2021-22","645","Dodge County","ALL","All Column Values","Teachers and Paraprofessionals",12935214.3,6058754.29,18993968.59,47.75,41.94,58.57,53.41
"2021-22","646","Dooly County","ALL","All Column Values","General Administration",659590.9,296289.62,955880.52,5.27,4.51,5.47,4.72
"2021-22","646","Dooly County","ALL","All Column Values","School Administration",559901.65,359796.86,919698.51,5.07,4.34,5.26,4.54
"2021-22","646","Dooly County","ALL","All Column Values","Teachers and Paraprofessionals",4045851.82,1986505.45,6032357.27,33.25,28.49,34.49,29.78
"2021-22","647","Dougherty County","ALL","All Column Values","General Administration",1396694.46,772783.02,2169477.48,1.07,0.81,1.13,0.98
"2021-22","647","Dougherty County","ALL","All Column Values","School Administration",6193224.22,3366786.44,9560010.66,4.69,3.57,4.99,4.33
"2021-22","647","Dougherty County","ALL","All Column Values","Teachers and Paraprofessionals",50241978.35,27721614.3,77963592.65,38.28,29.1,40.68,35.33
"2021-22","648","Douglas County","ALL","All Column Values","General Administration",1237620.35,827832.53,2065452.88,0.62,0.48,0.65,0.55
"2021-22","648","Douglas County","ALL","All Column Values","School Administration",10018257,6246216.02,16264473.02,4.91,3.82,5.12,4.3
"2021-22","648","Douglas County","ALL","All Column Values","Teachers and Paraprofessionals",111234902,54829626.04,166064528.04,50.15,38.99,52.32,43.95
"2021-22","649","Early County","ALL","All Column Values","General Administration",271817.6,255796.83,527614.43,1.94,1.74,2.02,1.77
"2021-22","649","Early County","ALL","All Column Values","School Administration",880590.13,442264.55,1322854.68,4.87,4.37,5.07,4.44
"2021-22","649","Early County","ALL","All Column Values","Teachers and Paraprofessionals",8853989.68,4434502.43,13288492.11,48.9,43.92,50.93,44.58
"2021-22","650","Echols County","ALL","All Column Values","General Administration",262646.44,173234.23,435880.67,3.72,3.29,4.34,3.88
"2021-22","650","Echols County","ALL","All Column Values","School Administration",248515.68,144687.79,393203.47,3.36,2.97,3.92,3.5
"2021-22","650","Echols County","ALL","All Column Values","Teachers and Paraprofessionals",3304499.54,1700411.76,5004911.3,42.77,37.77,49.88,44.59
"2021-22","651","Effingham County","ALL","All Column Values","General Administration",1552047.87,1112277.18,2664325.05,1.76,1.16,1.85,1.5
"2021-22","651","Effingham County","ALL","All Column Values","School Administration",4374514.78,2521866.47,6896381.25,4.55,3.01,4.78,3.89
"2021-22","651","Effingham County","ALL","All Column Values","Teachers and Paraprofessionals",59909545.84,26115287.31,86024833.15,56.81,37.56,59.64,48.54
"2021-22","652","Elbert County","ALL","All Column Values","General Administration",251943,238733.8,490676.8,1.16,0.84,1.27,1.07
"2021-22","652","Elbert County","ALL","All Column Values","School Administration",1082730.88,741332.73,1824063.61,4.32,3.12,4.74,3.96
"2021-22","652","Elbert County","ALL","All Column Values","Teachers and Paraprofessionals",13381451.51,6660832.22,20042283.73,47.45,34.31,52.07,43.55
"2021-22","653","Emanuel County","ALL","All Column Values","General Administration",489849.17,302472.33,792321.5,1.49,1.29,1.69,1.48
"2021-22","653","Emanuel County","ALL","All Column Values","School Administration",1411084.01,814883.47,2225967.48,4.2,3.62,4.74,4.16
"2021-22","653","Emanuel County","ALL","All Column Values","Teachers and Paraprofessionals",15640043.29,8416046.09,24056089.38,45.39,39.17,51.25,44.94
"2021-22","654","Evans County","ALL","All Column Values","General Administration",376398.51,228512.05,604910.56,2.45,2.09,2.5,1.98
"2021-22","654","Evans County","ALL","All Column Values","School Administration",1023472.07,430542.4,1454014.47,5.9,5.03,6,4.75
"2021-22","654","Evans County","ALL","All Column Values","Teachers and Paraprofessionals",6771824.64,3146086.84,9917911.48,40.24,34.3,40.95,32.43
"2021-22","655","Fannin County","ALL","All Column Values","General Administration",655931.93,418242.49,1074174.42,2.48,1.93,2.72,1.92
"2021-22","655","Fannin County","ALL","All Column Values","School Administration",1145252.67,793127.02,1938379.69,4.48,3.49,4.91,3.47
"2021-22","655","Fannin County","ALL","All Column Values","Teachers and Paraprofessionals",12826613.07,7252242.22,20078855.29,46.36,36.14,50.85,35.95
"2021-22","656","Fayette County","ALL","All Column Values","General Administration",879477.41,635482.39,1514959.8,0.6,0.48,0.62,0.5
"2021-22","656","Fayette County","ALL","All Column Values","School Administration",6834822.85,4249531.54,11084354.39,4.4,3.52,4.51,3.67
"2021-22","656","Fayette County","ALL","All Column Values","Teachers and Paraprofessionals",97287619.09,44232263.4,141519882.49,56.2,44.91,57.63,46.85
"2021-22","657","Floyd County","ALL","All Column Values","General Administration",624930.37,780435.77,1405366.14,1.08,0.91,1.16,0.93
"2021-22","657","Floyd County","ALL","All Column Values","School Administration",3518483.8,2007807.93,5526291.73,4.23,3.57,4.57,3.64
"2021-22","657","Floyd County","ALL","All Column Values","Teachers and Paraprofessionals",40456013.59,19804383.07,60260396.66,46.1,38.95,49.86,39.73
"2021-22","658","Forsyth County","ALL","All Column Values","General Administration",1909236.29,917425.57,2826661.86,0.5,0.4,0.53,0.41
"2021-22","658","Forsyth County","ALL","All Column Values","School Administration",15101059.72,8885735.62,23986795.34,4.24,3.43,4.46,3.51
"2021-22","658","Forsyth County","ALL","All Column Values","Teachers and Paraprofessionals",227608307.19,108426488.96,336034796.15,59.45,48.07,62.44,49.16
"2021-22","659","Franklin County","ALL","All Column Values","General Administration",255161.96,221609.59,476771.55,1.15,0.9,1.13,1.04
"2021-22","659","Franklin County","ALL","All Column Values","School Administration",1187307.22,726971.15,1914278.37,4.62,3.62,4.55,4.17
"2021-22","659","Franklin County","ALL","All Column Values","Teachers and Paraprofessionals",15935450.69,7494307.09,23429757.78,56.51,44.29,55.74,50.99
"2021-22","660","Fulton County","ALL","All Column Values","General Administration",6664933.9,19428882.71,26093816.61,1.97,1.6,2.08,1.82
"2021-22","660","Fulton County","ALL","All Column Values","School Administration",35540542.92,18926751.77,54467294.69,4.11,3.34,4.33,3.79
"2021-22","660","Fulton County","ALL","All Column Values","Teachers and Paraprofessionals",419658437.16,168710623.58,588369060.74,44.35,36.12,46.82,40.93
"2021-22","661","Gilmer County","ALL","All Column Values","General Administration",367047.4,325268.55,692315.95,1.31,1.07,1.44,1.22
"2021-22","661","Gilmer County","ALL","All Column Values","School Administration",1414471.31,899677.17,2314148.48,4.39,3.58,4.8,4.08
"2021-22","661","Gilmer County","ALL","All Column Values","Teachers and Paraprofessionals",16493358.79,8731515.05,25224873.84,47.87,38.98,52.34,44.46
"2021-22","662","Glascock County","ALL","All Column Values","General Administration",285076.84,133047.13,418123.97,5,4.56,5.13,4.66
"2021-22","662","Glascock County","ALL","All Column Values","School Administration",209096.76,107619.06,316715.82,3.79,3.46,3.89,3.53
"2021-22","662","Glascock County","ALL","All Column Values","Teachers and Paraprofessionals",2530144.44,1092424,3622568.44,43.3,39.54,44.48,40.38
"2021-22","663","Glynn County","ALL","All Column Values","General Administration",598603.04,541344.46,1139947.5,0.66,0.52,0.73,0.56
"2021-22","663","Glynn County","ALL","All Column Values","School Administration",4380055.61,2326654.26,6706709.87,3.86,3.04,4.27,3.32
"2021-22","663","Glynn County","ALL","All Column Values","Teachers and Paraprofessionals",57003475.44,27690922.83,84694398.27,48.76,38.36,53.89,41.88
"2021-22","664","Gordon County","ALL","All Column Values","General Administration",587595.96,361667,949262.96,1.17,0.77,1.22,0.96
"2021-22","664","Gordon County","ALL","All Column Values","School Administration",2390839.57,1507204.36,3898043.93,4.82,3.17,5,3.93
"2021-22","664","Gordon County","ALL","All Column Values","Teachers and Paraprofessionals",25895162.28,12943309.19,38838471.47,48.01,31.61,49.77,39.14
"2021-22","665","Grady County","ALL","All Column Values","General Administration",243499.13,157024.87,400524,0.78,0.67,0.81,0.65
"2021-22","665","Grady County","ALL","All Column Values","School Administration",1648119.39,827988.63,2476108.02,4.82,4.11,4.99,4.03
"2021-22","665","Grady County","ALL","All Column Values","Teachers and Paraprofessionals",17514477.5,8001813.08,25516290.58,49.64,42.4,51.43,41.51
"2021-22","666","Greene County","ALL","All Column Values","General Administration",447047.89,308094.48,755142.37,1.55,1.29,1.69,1.54
"2021-22","666","Greene County","ALL","All Column Values","School Administration",996680.2,524107.51,1520787.71,3.13,2.6,3.4,3.1
"2021-22","666","Greene County","ALL","All Column Values","Teachers and Paraprofessionals",14318760.14,7283613.34,21602373.48,44.47,36.93,48.32,44.07
"2021-22","667","Gwinnett County","ALL","All Column Values","General Administration",4505924.52,2998714.9,7504639.42,0.34,0.26,0.35,0.29
"2021-22","667","Gwinnett County","ALL","All Column Values","School Administration",69970056.65,43980995.61,113951052.26,5.15,3.87,5.29,4.34
"2021-22","667","Gwinnett County","ALL","All Column Values","Teachers and Paraprofessionals",813682481.93,387196958.75,1200879440.68,54.26,40.83,55.7,45.71
"2021-22","668","Habersham County","ALL","All Column Values","General Administration",589136.99,270495.73,859632.72,0.93,0.78,0.94,0.81
"2021-22","668","Habersham County","ALL","All Column Values","School Administration",2809861.12,1540511.43,4350372.55,4.72,3.94,4.75,4.11
"2021-22","668","Habersham County","ALL","All Column Values","Teachers and Paraprofessionals",31181694.74,16213552.4,47395247.14,51.38,42.96,51.76,44.78
"2021-22","669","Hall County","ALL","All Column Values","General Administration",1003122.17,599260.73,1602382.9,0.5,0.41,0.52,0.39
"2021-22","669","Hall County","ALL","All Column Values","School Administration",9337148.92,5325624.42,14662773.34,4.55,3.74,4.74,3.55
"2021-22","669","Hall County","ALL","All Column Values","Teachers and Paraprofessionals",115253317.28,55155264.68,170408581.96,52.84,43.42,55.12,41.26
"2021-22","670","Hancock County","ALL","All Column Values","General Administration",336354.1,114364.76,450718.86,3.55,3.09,3.48,3.21
"2021-22","670","Hancock County","ALL","All Column Values","School Administration",541608.61,184034.53,725643.14,5.71,4.98,5.6,5.17
"2021-22","670","Hancock County","ALL","All Column Values","Teachers and Paraprofessionals",3157903.05,1273489.79,4431392.84,34.86,30.42,34.18,31.59
"2021-22","671","Haralson County","ALL","All Column Values","General Administration",590001.98,266203.52,856205.5,1.72,1.53,1.92,1.51
